Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Middle East,Occupied Palestinian Territories,"2,554","2,423","1,984","2,528","2,650","2,665","2,812","2,839","3,371","2,915","2,808","2,845","3,268"
Middle East,Oman,"6,733","7,147","7,323","9,403","7,985","8,628","7,236","12,105","15,031","4,559","4,797","3,806","3,517"
Other,Other and unknown,"8,304","7,846","8,292","5,242","3,195","2,655","2,533","2,508","2,376","2,835","1,937","2,082","1,866"
Asia South,Pakistan,"139,920","162,166","126,858","104,008","83,832","96,452","124,808","82,596","79,413","76,101","62,811","59,800","77,638"
Oceania,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Panama,64,49,63,83,54,50,34,55,50,46,69,73,74
Oceania,Papua New Guinea,49,35,16,44,45,21,21,18,16,45,23,28,13
America Central and South,Paraguay,50,45,62,54,43,41,49,30,43,36,56,82,85
America Central and South,Peru,"5,071","5,845","5,830","4,876","4,668","4,887","5,002","5,420","5,771","6,370","7,677","8,395","9,650"
Asia South East,Philippines,"44,538","49,394","47,841","49,597","47,898","45,749","44,655","45,467","45,742","54,920","58,985","63,912","68,804"
Other,Pitcairn Islands (British),1,1,0,0,0,0,0,0,0,0,0,0,0
EU 8,Poland,6,11,8,3,3,4,1,3,0,0,0,0,5
EU 14,Portugal,0,0,1,4,1,2,0,0,0,0,0,0,1
America North,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,Qatar,"8,391","12,360","12,303","14,248","11,047","15,392","15,824","20,033","26,388","11,008","11,036","9,969","7,911"
Other,Refugee,"1,759","1,548","1,808","4,049","4,376","3,700","3,082","2,933","3,288","3,318","4,068","4,374","4,747"
Africa Sub-Saharan,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0
EU 2,Romania,"35,589","37,733",45,47,36,15,22,13,16,5,1,0,14
Europe Other,Russia,"139,366","156,047","158,734","139,101","120,442","142,586","175,414","189,575","227,469","196,821","122,262","116,983","154,609"
Africa Sub-Saharan,Rwanda,515,697,793,826,675,796,646,644,944,927,871,737,"1,196"
Oceania,Samoa,27,28,14,8,12,12,20,12,25,21,14,5,4
Europe Other,San Marino,1,4,3,1,3,2,3,0,3,0,3,1,1
Africa Sub-Saharan,Sao Tome and Principe,156,179,113,71,60,44,43,28,37,66,74,32,48
Middle East,Saudi Arabia,"35,775","43,120","47,744","63,749","75,931","77,021","85,749","94,625","110,222","116,426","121,652","132,857","124,639"
Africa Sub-Saharan,Senegal,"2,029","2,125","2,199","2,199","1,548","1,689","1,451","1,329","1,294","1,217","1,328","1,182","1,398"
Europe Other,Serbia,z,z,391,"1,001","8,788","13,176","13,890","13,719","13,654","12,714","11,858","12,677","13,575"
